Ano,Mes,Linha_1,Linha_2,Linha_3,Linha_4,Linha_5,Linha_6,Linha_7,Linha_8,Linha_9,Linha_10,Linha_11,Linha_12,Linha_13,Linha_14,Linha_15,Linha_16,Linha_17,Linha_18,Linha_19,Linha_20,Linha_21,Linha_22,Linha_23,Linha_24,Linha_25,Linha_26,Linha_27,Linha_28,Linha_29,Linha_30,Linha_31,Linha_32,Linha_33,Linha_34,Linha_35,Linha_36,Linha_37,Linha_38,Linha_39,Linha_40,Linha_41,Linha_42,Linha_43,Linha_44,Linha_45,Linha_46,Linha_47,Linha_48,Linha_49,Linha_50,Linha_51,Linha_52,Linha_53,Linha_54,Linha_55,Linha_56,Linha_57,Linha_58,Linha_59,Linha_60,Linha_61,Linha_62,Linha_63,Linha_64,Linha_65,Linha_66,Linha_67,Linha_68,Linha_69,Linha_70,Linha_71,Linha_72,Linha_73,Linha_74,Linha_75,Linha_76,Linha_77,Linha_78,Linha_79,Linha_80,Linha_81,Linha_82,Linha_83,Linha_84,Linha_85,Linha_86,Linha_87,Linha_88,Linha_89,Linha_90,Linha_91,Linha_92
2009,Janeiro,1,12,14,23,18,17,14,33,18,21,30,12,6,6,8,13,8,7,9,11,4,10,7,9,1,5,5,9,8,9,12,11,8,15,8,16,6,9,18,11,9,6,8,11,5,6,7,17,9,11,19,8,12,8,9,15,12,6,10,0,21,11,12,9,14,15,12,16,9,13,20,15,7,8,11,15,13,9,6,17,10,8,12,10,8,5,6,13,10,11,5,18
2009,Fevereiro,0,5,4,19,10,7,4,20,12,21,21,9,1,1,6,6,8,5,6,7,1,6,5,3,4,2,3,4,5,7,6,2,4,6,3,3,0,9,9,6,8,4,5,7,5,6,2,9,7,6,4,5,6,8,4,5,8,7,5,0,9,7,4,6,7,8,7,15,6,1,7,13,3,5,8,13,5,8,5,7,6,15,8,6,5,5,9,4,5,7,4,10
2009,Março,1,9,18,26,11,18,13,23,22,40,31,18,24,13,16,12,8,11,15,16,7,11,9,16,12,11,10,11,8,9,10,14,10,15,7,16,10,12,12,9,16,13,6,4,9,9,11,16,12,14,14,13,10,10,7,12,11,8,10,1,15,11,17,18,14,11,13,8,8,13,20,16,10,10,12,16,14,11,9,17,15,21,10,8,6,11,11,10,8,12,10,13
2009,Abril,0,3,8,6,7,5,4,8,7,7,11,4,11,2,6,4,3,3,4,4,0,2,0,3,4,1,1,2,8,3,1,3,3,8,1,6,0,2,4,6,3,3,1,3,2,1,2,3,5,2,3,3,0,7,2,4,2,6,6,0,8,3,5,4,2,10,3,1,4,3,8,4,2,1,3,3,2,7,1,5,3,5,3,5,2,2,2,4,5,5,3,3
2009,Maio,0,5,6,10,3,4,2,5,10,11,12,3,5,5,7,4,1,8,5,2,0,5,1,2,3,3,5,5,0,2,6,4,3,6,6,2,2,5,3,2,5,3,2,1,5,5,2,2,5,6,4,4,1,6,3,6,0,6,4,1,5,5,5,6,7,7,3,4,4,2,3,8,7,5,4,7,1,4,5,8,3,4,5,4,2,1,5,2,4,2,5,8
2009,Junho,1,7,6,10,9,13,8,18,10,9,23,6,7,2,2,9,4,9,7,2,6,4,5,4,8,5,2,4,11,6,4,5,8,8,2,6,3,5,6,8,12,4,3,5,2,6,7,8,3,3,8,2,8,5,9,10,6,8,6,1,5,11,5,3,6,7,12,3,4,7,6,6,4,6,7,8,4,4,6,10,10,4,1,6,7,4,8,10,7,5,4,6
2009,Julho,2,8,10,13,15,9,14,21,13,21,19,11,10,5,6,7,6,3,9,10,3,7,8,5,8,11,3,5,14,5,5,5,7,21,9,12,4,7,19,7,7,6,3,4,11,12,8,15,12,9,5,7,8,5,8,11,9,8,9,0,6,13,10,8,11,10,13,7,4,9,12,12,4,7,3,9,10,6,5,12,10,11,6,9,6,8,8,10,2,10,5,4
2009,Agosto,0,6,7,15,17,6,8,9,13,19,26,8,14,5,11,6,4,4,6,8,2,5,12,8,11,7,9,10,9,9,4,9,3,9,5,12,6,5,15,4,10,7,8,7,5,6,6,10,10,6,9,7,6,4,5,8,9,6,2,1,14,3,8,9,5,11,9,10,6,5,12,10,2,7,6,15,11,9,9,8,7,10,7,9,15,6,5,7,8,9,8,11
2009,Setembro,0,15,16,23,13,10,16,30,12,34,24,9,11,6,4,12,11,7,6,7,3,6,12,11,10,8,13,7,8,13,10,9,9,17,11,7,8,9,16,13,13,7,12,9,5,7,13,15,21,8,13,8,4,19,8,13,9,12,8,0,11,7,19,11,16,18,12,7,14,3,14,17,11,6,14,21,11,10,11,10,14,15,16,13,4,6,11,8,9,11,14,14
2009,Outubro,0,7,4,7,6,8,2,11,10,10,4,8,4,4,5,5,8,2,4,3,0,3,4,5,8,6,5,5,4,2,1,4,6,4,4,3,3,2,5,6,5,1,2,3,6,5,2,5,9,3,4,5,8,5,4,8,1,5,6,0,8,4,5,4,7,4,3,3,4,3,5,3,6,7,5,7,7,0,4,5,4,5,3,2,4,4,0,7,3,8,5,1
2009,Novembro,1,10,14,27,22,25,15,27,26,26,34,21,18,9,16,13,8,10,10,16,7,11,16,9,12,10,8,15,9,8,4,14,6,14,14,13,6,11,17,14,13,6,14,12,10,9,15,14,18,15,15,11,13,16,14,10,8,19,7,3,19,15,19,21,15,25,15,20,21,11,23,16,11,6,16,35,15,10,14,19,16,15,12,9,16,9,10,14,11,20,15,17
2009,Dezembro,2,11,24,16,13,13,15,27,19,25,21,20,12,10,8,21,7,9,6,12,7,5,5,8,13,12,7,9,8,8,9,7,10,14,10,4,8,5,11,7,9,2,11,9,8,9,13,12,15,7,4,10,11,10,7,10,9,12,6,0,17,16,7,15,15,9,10,8,13,11,11,13,9,4,3,21,11,11,6,12,12,11,11,15,12,10,7,11,14,18,10,18
2010,Janeiro,0,11,12,22,21,18,12,36,18,30,24,11,15,8,13,12,7,14,11,17,2,10,8,10,11,10,8,6,9,9,4,13,12,13,7,11,7,6,12,14,13,6,9,9,9,11,10,16,17,5,14,8,18,15,2,11,9,15,4,0,16,11,13,10,18,16,17,13,11,10,10,12,9,12,7,24,7,8,8,11,8,12,12,9,5,10,11,10,8,14,11,16
2010,Fevereiro,1,8,14,26,12,14,13,14,15,25,16,12,9,8,3,8,9,5,10,9,5,3,8,12,7,7,8,11,6,4,9,6,7,15,8,7,7,7,15,11,8,8,10,5,7,4,10,7,12,10,9,8,11,5,6,9,2,4,5,1,14,9,15,12,14,9,7,5,10,4,15,9,4,7,5,10,9,7,3,8,11,10,10,12,3,4,7,6,10,9,5,10
2010,Março,0,11,18,36,10,11,17,23,16,31,23,8,8,9,5,14,11,7,8,8,9,7,13,6,14,10,10,9,8,8,7,11,6,11,9,5,7,9,24,11,10,9,8,4,9,5,8,14,13,8,6,12,12,18,11,11,11,11,9,1,17,9,11,8,8,20,12,13,10,10,10,17,9,13,14,18,8,9,4,9,11,13,9,8,10,10,10,9,5,11,9,11
2010,Abril,0,3,6,10,9,5,6,17,10,9,5,4,4,5,4,10,3,3,5,4,4,4,8,3,1,2,2,7,3,4,2,5,2,2,7,6,4,4,12,6,5,4,8,6,5,6,5,2,3,9,5,6,3,5,6,6,4,7,4,0,10,5,9,6,9,10,7,3,6,3,5,6,4,5,3,12,6,6,2,2,2,5,7,6,7,3,2,9,5,10,2,8
2010,Maio,0,9,8,10,4,2,2,14,7,9,7,9,4,2,4,4,4,1,2,3,1,2,3,5,4,3,4,5,2,5,4,1,2,6,4,5,4,5,11,2,3,0,5,4,3,1,3,6,2,1,1,4,1,6,3,5,3,5,1,0,5,7,0,1,10,8,3,4,3,4,4,3,3,6,5,6,4,6,8,5,7,3,5,6,6,1,4,4,3,5,4,6
2010,Junho,2,3,1,4,4,1,3,7,1,2,6,2,0,1,0,5,4,2,0,2,2,0,1,2,1,2,1,0,2,1,0,1,1,0,3,1,2,0,3,1,5,1,1,1,1,2,1,1,3,4,1,1,0,2,2,3,0,2,2,0,1,2,3,2,4,4,4,1,2,1,3,2,2,1,3,2,3,2,1,3,3,2,2,2,3,2,1,3,3,1,2,3
