2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
0.68;0.71;1.4;0.48;0.56;0.72;1;0.41;0.46;0.48;0.98
0.4;0.54;0.24;1.15;0.7;0.46;0.55;0.77;0.38;0.25;0.62
0.78;0.67;0.39;0.51;0.21;0.5;0.51;0.94;0.4;0.41;0.52
0.23;0.33;0.38;0.28;0.19;0.37;0.18;0.32;0.21;0.52;0.55
0.26;0.26;0.47;0.49;0.22;0.33;0.35;0.24;0.46;0.32;0.31
0.39;0.12;0.53;0.37;0.58;0.3;0.32;0.19;0.23;0.08;0.46
0.53;0.64;1.05;0.27;0.56;0.25;0.28;0.35;0.48;0.78;0.5
0.5;0.1;0.34;0.28;0.37;0.41;0.26;0.74;0.51;0.36;0.26
0.7;0.26;0.55;0.26;0.64;0.23;0.64;0.42;0.39;0.38;0.78
0.28;0.63;1.1;0.7;0.36;0.99;0.23;0.53;0.49;0.4;0.51
0.88;0.4;0.65;0.41;0.79;0.25;1.15;0.26;0.62;1.02;0.78
0.67;0.69;0.86;1.03;0.62;1.26;0.38;0.66;0.54;0.39;0.57
